"Week of the month (first week, second, third, fourth or fifth week",Day of the week (Monday to Friday),Non-urgent order,Urgent order,Order type A,Order type B,Order type C,Fiscal sector orders,Orders from the traffic controller sector,Banking orders (1),Banking orders (2),Banking orders (3),Target (Total orders)
3.090269890048099,4.033344503968308,172.55496593124465,118.92353089432221,52.11224406134085,109.2300541679421,139.5314229675486,77.4356450482908,44504.35418673481,46640.83549868246,79402.0806393073,23114.6424473181,300.87344812747347
3.1724405878197333,4.033704162423871,172.70958396674834,119.94184488219601,52.16767726966106,109.45304842870587,139.83868930380362,77.90066027087141,44508.32453553515,46658.865989408216,79986.39186939405,23119.935695771328,301.3368776789509
3.0613045616241643,4.033336350632193,172.55497158156254,118.92455021835987,52.11224779456663,109.23007958666287,139.53148037523945,77.41521698432759,44504.35143506642,46640.83665073903,79402.14213578663,23114.63860409223,300.8735235042709
3.062302319734986,4.033340326326063,172.55500746224232,118.92686900866994,52.11226101615166,109.2302781490446,139.53164488228137,77.4242780324044,44504.354790556274,46640.83775839501,79402.5328287071,23114.64353885694,300.8737169107975
3.0752920602776292,4.033343005048008,172.55554060659824,118.94512169848583,52.11256308300816,109.23212981290636,139.53368158829517,77.4285894286198,44504.36343204381,46640.88623126223,79408.57955015909,23114.665210628053,300.8758481483014
3.110600686208398,4.03336706351627,172.60316098337418,119.42992282588861,52.12496271815218,109.32340985779953,139.63774121694536,77.4691806379743,44504.942709367926,46643.480653503546,79620.98891547835,23115.29913269724,301.02372097071236
3.105156752278867,4.033382986126747,172.56032909296187,119.00582428135282,52.114792478854014,109.24318125087163,139.5460555493798,77.52931686883568,44504.564905046136,46641.18227098203,79438.89091182123,23114.926781444527,300.89047272088993
3.0810252887508818,4.033335060355438,172.55507341891848,118.92784146447599,52.11228054618454,109.23052089517083,139.53178005099687,77.40869677900498,44504.35278199642,46640.83847348019,79403.35268932472,23114.638794270802,300.87396262339854
3.1029742859659186,4.033356336527078,172.59629249290546,119.29247531887609,52.122399958765364,109.30307030985385,139.61915260349284,77.44210394235917,44504.81874765686,46642.890756450346,79649.81551301536,23115.102180659178,301.0070562828536
3.0678077663676473,4.0333440335482145,172.55505663406456,118.93036522644569,52.11231104938378,109.23059594105187,139.5318463988644,77.43839322871192,44504.35862481716,46640.841184167904,79403.05476458072,23114.65281923679,300.87395425146195
3.087184091134142,4.033377496246847,172.55552304941327,118.93985810550235,52.11255325573122,109.23227471788739,139.53344053975738,77.51239196644933,44504.38808873471,46640.89669713006,79406.5499007718,23114.721374929577,300.8758104571676
3.1300170259936695,4.033598213513552,235.63195577657388,144.8680935147675,66.94370553959581,151.57993890063523,178.47053161097875,77.66525176010185,46036.39301295749,64258.04688869277,118434.81056608562,23583.00589499446,385.54588799279077
3.0179221116116715,4.033333333338076,172.55493333333334,118.9208500011612,52.11221666666671,109.22985000000156,139.53125000000074,77.39613428739278,44504.35,46640.833333333336,79401.48333334523,23114.633333333382,300.8733166666668
3.0855208552725237,4.033350617277478,172.55857881551782,119.01880395487804,52.113756065914636,109.24054302267987,139.54435185198602,77.45229767725156,44504.498865298774,46640.97212173923,79432.57249718171,23114.760401175616,300.8889195687771
3.084561531257679,4.033339097841476,172.55494489858577,118.92199206208993,52.11222521675785,109.22993336207357,139.53131839702357,77.4207099920622,44504.3516306297,46640.834008056416,79401.74507023816,23114.637103129164,300.87336803151715
3.051039130773275,4.03333546092723,172.5549397851773,118.92184701529793,52.11222355961801,109.22990242831949,139.5312907603506,77.4098421454797,44504.350713306245,46640.833562997905,79401.64725982126,23114.63514290193,300.8733455972894
3.1625967021526242,4.033607473495904,172.58598851919695,119.27447999293187,52.12471071766604,109.28933315284407,139.60865543908457,77.79005838325882,44506.363652328386,46643.83904109628,79560.48848790626,23116.403626102543,300.9787235680413
3.0580267737259916,4.033339058570532,172.55661940049865,119.01358132103687,52.11298679977647,109.23490448843987,139.5391837240786,77.42638855244148,44504.41300934051,46640.88503161443,79421.7030698028,23114.69144188891,300.8829983491111
3.0721103982171143,4.033336624789995,172.55546094255527,118.94641473454614,52.112441801924064,109.23211945743462,139.53335121062327,77.4127233035547,44504.36050548793,46640.85891672775,79407.19962207913,23114.649842192415,300.8755689674306
3.088075712488309,4.03333613920202,172.55624740161667,118.96097512762174,52.112699777499806,109.2341740963324,139.53581964056,77.40767975744053,44504.36751757909,46640.874536342635,79416.16657206883,23114.652596278527,300.8787062763238
